단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
311390,네오크레마,네오크레마,,6140.0
85910,네오티스,네오티스,,3285.0
92730,네오팜,네오팜,,25050.0
290660,네오펙트,네오펙트,,980.0
306620,네온테크,네온테크,,2220.0
153460,네이블,네이블,,7100.0
7390,네이처셀,네이처셀,,10480.0
33640,네패스,네패스,,12200.0
330860,네패스아크,네패스아크,,17610.0
5725,넥센1우선주,넥센우,,3085.0
5720,넥센보통주,넥센,,4615.0
2355,넥센타이어1우선주(신형),넥센타이어1우B,,3330.0
2350,넥센타이어보통주,넥센타이어,,7910.0
89140,넥스턴바이오사이언스,넥스턴바이오,,3025.0
137940,넥스트아이,넥스트아이,,392.0
160550,넥스트엔터테인먼트월드,NEW,,2705.0
396270,넥스트칩,넥스트칩,,9540.0
348210,넥스틴,넥스틴,,54500.0
92790,넥스틸보통주,넥스틸,,8830.0
225570,넥슨게임즈,넥슨게임즈,,28500.0
217270,넵튠,넵튠,,5750.0
251270,넷마블보통주,넷마블,,64600.0
317860,노드메이슨,노드메이슨,,6200.0
104620,노랑풍선,노랑풍선,,5670.0
90355,노루페인트 1우선주,노루페인트우,,14780.0
90350,노루페인트 보통주,노루페인트,,9350.0
325,노루홀딩스1우선주,노루홀딩스우,,31300.0
320,노루홀딩스보통주,노루홀딩스,,13250.0
194700,노바렉스,노바렉스,,10090.0
285490,노바텍,노바텍,,14160.0
283100,노보믹스,노보믹스,,446.0
145170,노브랜드,노브랜드,,15420.0
229500,노브메타파마,노브메타파마,,5450.0
106520,노블엠앤비,노블엠앤비,,411.0
376930,노을,노을,,2385.0
6280,녹십자보통주,녹십자,,142000.0
142280,녹십자엠에스,녹십자엠에스,,4220.0
234690,녹십자웰빙,녹십자웰빙,,8520.0
5257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우,,25100.0
5250,녹십자홀딩스보통주,녹십자홀딩스,,15360.0
65560,녹원씨엔아이,녹원씨엔아이,,
4370,농심보통주,농심,,464000.0
72710,농심홀딩스보통주,농심홀딩스,,69800.0
154030,농업회사법인 아시아종묘,아시아종묘,,2610.0
403490,농업회사법인 우듬지팜,우듬지팜,,2135.0
54050,농업회사법인농우바이오,농우바이오,,7890.0
69140,누리플랜,누리플랜,,1582.0
40160,누리플렉스,누리플렉스,,2930.0
332290,누보,누보,,1441.0
348340,뉴로메카,뉴로메카,,22200.0
60260,뉴보텍,뉴보텍,,2845.0
123840,뉴온,뉴온,,302.0
12340,뉴인텍,뉴인텍,,652.0
214870,뉴지랩파마,뉴지랩파마,,6920.0
270870,뉴트리,뉴트리,,8100.0
144960,뉴파워프라즈마,뉴파워프라즈마,,5180.0
85670,뉴프렉스,뉴프렉스,,5030.0
64260,다날,다날,,3515.0
340360,다보링크,다보링크,,2090.0
39560,다산네트웍스,다산네트웍스,,3540.0
154040,다산솔루에타,다산솔루에타,,1516.0
58730,다스코보통주,다스코,,3940.0
30210,다올투자증권보통주,다올투자증권,,3155.0
23590,다우기술보통주,다우기술,,18480.0
32190,다우데이타,다우데이타,,11470.0
323350,다원넥스뷰,다원넥스뷰,,8600.0
68240,다원시스,다원시스,,10530.0
145210,다이나믹디자인보통주,다이나믹디자인,,5400.0
19680,대교보통주,대교,,2260.0
19685,대교우선주(신형),대교우B,,1357.0
6370,대구백화점보통주,대구백화점,,6690.0
00806K,대덕1우선주,대덕1우,,6930.0
8060,대덕보통주,대덕,,6320.0
353200,대덕전자보통주,대덕전자,,21050.0
35320K,대덕전자우선주,대덕전자1우,,8930.0
178600,대동고려삼 주식회사,대동고려삼,,3295.0
20400,대동금속,대동금속,,7670.0
8830,대동기어,대동기어,,7880.0
490,대동보통주,대동,,9990.0
48470,대동스틸,대동스틸,,4140.0
8110,대동전자보통주,대동전자,,15040.0
4780,대륙제관,대륙제관,,3940.0
5750,대림B&Co보통주,대림B&Co,,3785.0
17650,대림제지,대림제지,,7720.0
6570,대림통상보통주,대림통상,,2960.0
7720,대명소노시즌,대명소노시즌,,720.0
389260,대명에너지,대명에너지,,12370.0
317850,대모엔지니어링,대모,,11020.0
290670,대보마그네틱,대보마그네틱,,19550.0
78140,대봉엘에스,대봉엘에스,,14850.0
65150,대산에프앤비,대산F&B,,145.0
1685,대상1우선주,대상우,,16860.0
1680,대상보통주,대상,,23100.0
84695,대상홀딩스 1우선주,대상홀딩스우,,21000.0
84690,대상홀딩스 보통주,대상홀딩스,,9160.0
36480,대성미생물연구소,대성미생물,,10030.0
128820,대성산업보통주,대성산업,,3740.0
117580,대성에너지보통주,대성에너지,,10290.0
27830,대성창업투자,대성창투,,1675.0
104040,대성파인텍,대성파인텍,,941.0
129920,대성하이텍,대성하이텍,,5390.0
16710,대성홀딩스보통주,대성홀딩스,,8400.0
438220,대신밸런스제13호기업인수목적,대신밸런스제13호스팩,,2205.0
442310,대신밸런스제14호기업인수목적,대신밸런스제14호스팩,,2325.0
457390,대신밸런스제15호기업인수목적,대신밸런스제15호스팩,,2350.0
