단축코드,한글 종목명,한글 종목약명,Unnamed: 3,어제종가
001440,대한전선보통주,대한전선,,12370.0
084010,대한제강 보통주,대한제강,,14940.0
001795,대한제당1우선주,대한제당우,,2520.0
001790,대한제당보통주,대한제당,,2960.0
001130,대한제분보통주,대한제분,,130000.0
003495,대한항공1우선주,대한항공우,,23650.0
003490,대한항공보통주,대한항공,,23950.0
005880,대한해운보통주,대한해운,,1841.0
003830,대한화섬보통주,대한화섬,,117400.0
016090,대현보통주,대현,,2080.0
069460,대호에이엘보통주,대호에이엘,,1159.0
021040,대호특수강,대호특수강,,1524.0
021045,대호특수강1우선주,대호특수강우,,3460.0
067080,대화제약,대화제약,,14760.0
043090,더 테크놀로지,더테크놀로지,,352.0
298540,더네이쳐홀딩스,더네이쳐홀딩스,,10340.0
032860,더라미,더라미,,1687.0
192080,더블유게임즈보통주,더블유게임즈,,50700.0
393890,더블유씨피,더블유씨피,,15570.0
299170,더블유에스아이,더블유에스아이,,1471.0
089230,더이앤엠,THE E&M,,1188.0
012510,더존비즈온보통주,더존비즈온,,61700.0
224060,더코디,더코디,,4770.0
302920,더콘텐츠온,더콘텐츠온,,7000.0
213420,덕산네오룩스,덕산네오룩스,,25700.0
317330,덕산테코피아,덕산테코피아,,39600.0
077360,덕산하이메탈,덕산하이메탈,,4645.0
004835,덕성1우선주,덕성우,,9550.0
004830,덕성보통주,덕성,,6770.0
090410,덕신이피씨,덕신이피씨,,1533.0
024900,덕양산업보통주,덕양산업,,3185.0
263600,덕우전자,덕우전자,,5860.0
194480,데브시스터즈,데브시스터즈,,35500.0
263800,데이타솔루션,데이타솔루션,,4840.0
199150,데이터스트림즈,데이터스트림즈,,2500.0
206560,덱스터스튜디오,덱스터,,8100.0
261200,덴티스,덴티스,,6860.0
145720,덴티움보통주,덴티움,,62800.0
227420,도부마스크,도부마스크,,1808.0
067990,도이치모터스,도이치모터스,,4620.0
002150,도화엔지니어링보통주,도화엔지니어링,,6950.0
006620,동구바이오제약,동구바이오제약,,5260.0
005160,동국산업,동국산업,,6590.0
460850,동국씨엠보통주,동국씨엠,,6630.0
075970,동국알앤에스,동국알앤에스,,2565.0
100130,동국에스엔씨,동국S&C,,2300.0
460860,동국제강보통주,동국제강,,8890.0
086450,동국제약,동국제약,,17750.0
001230,동국홀딩스보통주,동국홀딩스,,7890.0
004140,동방보통주,동방,,2330.0
099410,동방선기,동방선기,,3090.0
007590,동방아그로보통주,동방아그로,,6270.0
005965,동부건설1우선주,동부건설우,,21850.0
005960,동부건설보통주,동부건설,,4005.0
026960,동서보통주,동서,,26400.0
002210,동성제약보통주,동성제약,,4500.0
102260,동성케미컬보통주,동성케미컬,,4310.0
033500,동성화인텍,동성화인텍,,11550.0
025950,동신건설,동신건설,,23050.0
000640,동아쏘시오홀딩스보통주,동아쏘시오홀딩스,,122700.0
170900,동아에스티보통주,동아에스티,,75300.0
088130,동아엘텍,동아엘텍,,4565.0
028100,동아지질보통주,동아지질,,13260.0
282690,동아타이어공업보통주,동아타이어,,
041930,동아화성,동아화성,,6780.0
001525,동양1우선주,동양우,,4380.0
001527,동양2우선주(신형),동양2우B,,9140.0
084670,동양고속보통주,동양고속,,8300.0
001520,동양보통주,동양,,763.0
082640,동양생명보험보통주,동양생명,,5740.0
060380,동양에스텍,동양에스텍,,1440.0
079960,동양이엔피,동양이엔피,,19100.0
008970,동양철관보통주,동양철관,,776.0
228340,동양파일,동양파일,,1990.0
092780,동양피스톤보통주,동양피스톤,,5120.0
088910,동우팜투테이블,동우팜투테이블,,1984.0
094170,동운아나텍,동운아나텍,,20050.0
049770,동원F&B보통주,동원F&B,,33000.0
013120,동원개발,동원개발,,2555.0
018500,동원금속보통주,동원금속,,1264.0
006040,동원산업보통주,동원산업,,34450.0
030720,동원수산보통주,동원수산,,5720.0
014825,동원시스템즈1우선주,동원시스템즈우,,22850.0
014820,동원시스템즈보통주,동원시스템즈,,47050.0
111380,동인기연보통주,동인기연,,18470.0
163560,동일고무벨트보통주,동일고무벨트,,8050.0
109860,동일금속,동일금속,,8650.0
032960,동일기연,동일기연,,11080.0
004890,동일산업보통주,동일산업,,39300.0
002690,동일제강보통주,동일제강,,1474.0
023790,동일철강,동일철강,,1226.0
005290,동진쎄미켐,동진쎄미켐,,26250.0
025900,동화기업,동화기업,,10330.0
000020,동화약품보통주,동화약품,,7380.0
000155,두산1우선주,두산우,,109000.0
000157,두산2우선주(신형),두산2우B,,104500.0
454910,두산로보틱스보통주,두산로보틱스,,67400.0
241560,두산밥캣보통주,두산밥캣,,39850.0
000150,두산보통주,두산,,234500.0
034020,두산에너빌리티보통주,두산에너빌리티,,21450.0
131970,두산테스나,두산테스나,,28250.0
33626K,두산퓨얼셀1우선주,두산퓨얼셀1우,,5090.0
33626L,두산퓨얼셀2우선주(신형),두산퓨얼셀2우B,,8190.0
336260,두산퓨얼셀보통주,두산퓨얼셀,,16840.0
016740,두올보통주,두올,,3400.0
073190,듀오백,듀오백,,2475.0
176750,듀켐바이오,듀켐바이오,,18850.0
030350,드래곤플라이,드래곤플라이,,237.0
203650,드림시큐리티,드림시큐리티,,3495.0
223250,드림씨아이에스,드림씨아이에스,,3300.0
060570,드림어스컴퍼니,드림어스컴퍼니,,1760.0
362990,드림인사이트,드림인사이트,,2050.0
192650,드림텍보통주,드림텍,,8620.0
217620,디딤이앤에프,디딤이앤에프,,381.0
016670,디모아,디모아,,3795.0
187870,디바이스이엔지,디바이스이엔지,,13280.0
456440,디비금융제11호기업인수목적,DB금융스팩11호,,2275.0
477760,디비금융제12호기업인수목적,DB금융스팩12호,,2120.0
024090,디씨엠보통주,디씨엠,,11840.0
003160,디아이보통주,디아이,,16350.0
092200,디아이씨 보통주,디아이씨,,3635.0
110990,디아이티,디아이티,,13400.0
004840,디알비동일보통주,DRB동일,,4985.0
263690,디알젬,디알젬,,6680.0
214680,디알텍,디알텍,,3010.0
347850,디앤디파마텍,디앤디파마텍,,43100.0
377190,디앤디플랫폼리츠보통주,디앤디플랫폼리츠,,2755.0
263720,디앤씨미디어,디앤씨미디어,,18790.0
376300,디어유,디어유,,39850.0
241520,디에스씨인베스트먼트,DSC인베스트먼트,,2855.0
109740,디에스케이,디에스케이,,4990.0
290120,디에이치오토리드,DH오토리드,,2565.0
025440,디에이치오토웨어,DH오토웨어,,235.0
196490,디에이테크놀로지,디에이테크놀로지,,203.0
066900,디에이피,디에이피,,2385.0
180400,디엑스앤브이엑스,DXVX,,2210.0
127120,디엔에이링크,디엔에이링크,,3755.0
092070,디엔에프,디엔에프,,10750.0
007340,디엔오토모티브보통주,DN오토모티브,,18680.0
068790,디엠에스,DMS,,5310.0
039840,디오,디오,,16090.0
219550,디와이디,디와이디,,860.0
013570,디와이보통주,디와이,,4720.0
310870,디와이씨,디와이씨,,1401.0
210540,디와이파워보통주,디와이파워,,12680.0
104460,디와이피엔에프,디와이피엔에프,,10500.0
079810,디이엔티,디이엔티,,7080.0
113810,디젠스,디젠스,,902.0
043360,디지아이,디지아이,,2065.0
197140,디지캡,디지캡,,2590.0
068930,디지털대성,디지털대성,,7570.0
033130,디지틀조선일보,디지틀조선,,1810.0
060900,디지피,DGP,,1100.0
105740,디케이락,디케이락,,7840.0
263020,디케이앤디,디케이앤디,,3875.0
290550,디케이티,디케이티,,8360.0
066670,디티씨,디티씨,,3215.0
187220,디티앤씨,디티앤씨,,3345.0
383930,디티앤씨알오,디티앤씨알오,,6460.0
131180,딜리,딜리,,1078.0
